Format,count,X,Y,Z
CSV_FORMAT_IMU,2,0.00,0.00,0.00
CSV_FORMAT_IMU,4,0.00,0.00,0.00
CSV_FORMAT_IMU,6,0.00,0.00,0.00
CSV_FORMAT_IMU,8,0.00,0.00,0.00
CSV_FORMAT_IMU,10,0.00,0.00,0.00
CSV_FORMAT_IMU,12,0.00,0.00,0.00
CSV_FORMAT_IMU,14,0.00,0.00,0.00
CSV_FORMAT_IMU,16,0.00,0.00,0.00
CSV_FORMAT_IMU,18,0.00,0.00,0.00
CSV_FORMAT_IMU,20,0.00,0.00,0.00
CSV_FORMAT_IMU,22,0.00,0.00,0.00
CSV_FORMAT_IMU,24,0.22,0.00,0.64
CSV_FORMAT_IMU,26,0.72,0.02,2.09
CSV_FORMAT_IMU,28,1.35,0.05,4.12
CSV_FORMAT_IMU,30,2.16,0.13,6.37
CSV_FORMAT_IMU,32,3.03,0.25,8.78
CSV_FORMAT_IMU,34,3.96,0.42,11.47
CSV_FORMAT_IMU,36,4.97,0.65,13.93
CSV_FORMAT_IMU,38,6.03,0.95,16.48
CSV_FORMAT_IMU,40,7.11,1.30,18.97
CSV_FORMAT_IMU,42,8.19,1.71,21.52
CSV_FORMAT_IMU,44,9.20,2.14,23.99
CSV_FORMAT_IMU,46,10.31,2.67,26.32
CSV_FORMAT_IMU,48,11.42,3.25,28.72
CSV_FORMAT_IMU,50,12.48,3.87,31.21
CSV_FORMAT_IMU,52,13.54,4.55,33.63
CSV_FORMAT_IMU,54,14.57,5.27,35.99
CSV_FORMAT_IMU,56,15.59,6.05,38.34
CSV_FORMAT_IMU,58,16.60,6.90,40.73
CSV_FORMAT_IMU,60,17.56,7.76,43.15
CSV_FORMAT_IMU,62,18.47,8.67,45.50
CSV_FORMAT_IMU,64,19.40,9.66,47.76
CSV_FORMAT_IMU,66,20.28,10.68,49.94
CSV_FORMAT_IMU,68,21.10,11.71,52.16
CSV_FORMAT_IMU,70,21.88,12.77,54.47
CSV_FORMAT_IMU,72,22.64,13.89,56.75
CSV_FORMAT_IMU,74,23.34,15.01,59.01
CSV_FORMAT_IMU,76,23.99,16.16,61.23
CSV_FORMAT_IMU,78,24.63,17.38,63.52
CSV_FORMAT_IMU,80,25.18,18.58,65.89
CSV_FORMAT_IMU,82,25.71,19.83,68.08
CSV_FORMAT_IMU,84,26.19,21.12,70.49
CSV_FORMAT_IMU,86,26.60,22.38,72.74
CSV_FORMAT_IMU,88,26.94,23.59,75.15
CSV_FORMAT_IMU,90,27.25,24.90,77.37
CSV_FORMAT_IMU,92,27.52,26.22,79.43
CSV_FORMAT_IMU,94,27.73,27.56,81.57
CSV_FORMAT_IMU,96,27.90,28.90,83.69
CSV_FORMAT_IMU,98,28.01,30.21,85.98
CSV_FORMAT_IMU,100,28.08,31.59,88.09
CSV_FORMAT_IMU,102,28.09,32.75,90.24
CSV_FORMAT_IMU,104,28.05,34.11,92.38
CSV_FORMAT_IMU,106,27.96,35.48,94.60
CSV_FORMAT_IMU,108,27.82,36.83,96.74
CSV_FORMAT_IMU,110,27.63,38.17,98.91
CSV_FORMAT_IMU,112,27.39,39.56,100.90
CSV_FORMAT_IMU,114,27.09,40.91,103.12
CSV_FORMAT_IMU,116,26.77,42.15,105.39
CSV_FORMAT_IMU,118,26.37,43.48,107.66
CSV_FORMAT_IMU,120,25.92,44.78,109.83
CSV_FORMAT_IMU,122,25.43,46.04,111.99
CSV_FORMAT_IMU,124,24.87,47.34,114.19
CSV_FORMAT_IMU,126,24.28,48.56,116.51
CSV_FORMAT_IMU,128,23.64,49.78,118.64
CSV_FORMAT_IMU,130,22.95,50.98,120.75
CSV_FORMAT_IMU,132,22.20,52.18,122.91
CSV_FORMAT_IMU,134,21.42,53.32,124.97
CSV_FORMAT_IMU,136,20.60,54.43,126.99
CSV_FORMAT_IMU,138,19.73,55.55,128.90
CSV_FORMAT_IMU,140,18.82,56.63,130.85
CSV_FORMAT_IMU,142,17.91,57.63,132.91
CSV_FORMAT_IMU,144,16.93,58.64,134.90
CSV_FORMAT_IMU,146,15.93,59.60,136.96
CSV_FORMAT_IMU,148,14.90,60.52,139.07
CSV_FORMAT_IMU,150,13.81,61.42,141.16
CSV_FORMAT_IMU,152,12.71,62.26,143.20
CSV_FORMAT_IMU,154,11.59,63.07,145.23
CSV_FORMAT_IMU,156,10.46,63.81,147.04
CSV_FORMAT_IMU,158,9.32,64.54,147.74
CSV_FORMAT_IMU,160,8.29,65.19,147.57
CSV_FORMAT_IMU,162,7.20,65.89,147.10
CSV_FORMAT_IMU,164,6.18,66.56,146.32
CSV_FORMAT_IMU,166,5.22,67.22,145.44
CSV_FORMAT_IMU,168,4.45,67.76,144.43
CSV_FORMAT_IMU,170,3.66,68.34,143.38
CSV_FORMAT_IMU,172,2.79,69.00,142.28
CSV_FORMAT_IMU,174,1.98,69.65,141.09
CSV_FORMAT_IMU,176,1.16,70.33,139.83
CSV_FORMAT_IMU,178,0.42,70.97,138.69
CSV_FORMAT_IMU,180,-0.33,71.64,137.50
CSV_FORMAT_IMU,182,-1.01,72.28,136.36
CSV_FORMAT_IMU,184,-1.71,72.97,135.26
CSV_FORMAT_IMU,186,-2.35,73.62,133.98
CSV_FORMAT_IMU,188,-3.02,74.32,132.92
CSV_FORMAT_IMU,190,-3.61,74.98,131.70
CSV_FORMAT_IMU,192,-4.20,75.67,130.32
CSV_FORMAT_IMU,194,-4.72,76.30,128.84
CSV_FORMAT_IMU,196,-5.27,76.99,127.56
CSV_FORMAT_IMU,198,-5.79,77.69,126.35
CSV_FORMAT_IMU,200,-6.28,78.38,124.96
CSV_FORMAT_IMU,202,-6.80,79.14,123.57
CSV_FORMAT_IMU,204,-7.27,79.88,122.24
CSV_FORMAT_IMU,206,-7.76,80.68,120.81
CSV_FORMAT_IMU,208,-8.22,81.47,119.45
CSV_FORMAT_IMU,210,-8.65,82.27,118.05
CSV_FORMAT_IMU,212,-9.07,83.08,116.67
CSV_FORMAT_IMU,214,-9.45,83.87,115.34
CSV_FORMAT_IMU,216,-9.83,84.70,114.00
CSV_FORMAT_IMU,218,-10.14,85.42,112.65
CSV_FORMAT_IMU,220,-10.48,86.27,111.39
CSV_FORMAT_IMU,222,-10.75,87.01,109.93
CSV_FORMAT_IMU,224,-11.05,87.87,108.15
CSV_FORMAT_IMU,226,-11.30,88.68,106.84
CSV_FORMAT_IMU,228,-11.54,89.52,105.33
CSV_FORMAT_IMU,230,-11.75,90.35,103.86
CSV_FORMAT_IMU,232,-11.94,91.17,102.25
CSV_FORMAT_IMU,234,-12.10,91.97,100.62
CSV_FORMAT_IMU,236,-12.23,92.75,98.92
CSV_FORMAT_IMU,238,-12.33,93.53,97.00
CSV_FORMAT_IMU,240,-12.41,94.28,94.99
CSV_FORMAT_IMU,242,-12.46,95.03,92.85
CSV_FORMAT_IMU,244,-12.48,95.72,90.62
CSV_FORMAT_IMU,246,-12.47,96.35,88.33
CSV_FORMAT_IMU,248,-12.43,97.04,85.84
CSV_FORMAT_IMU,250,-12.37,97.63,83.16
CSV_FORMAT_IMU,252,-12.28,98.19,80.29
CSV_FORMAT_IMU,254,-12.17,98.74,77.39
CSV_FORMAT_IMU,256,-12.04,99.26,74.36
CSV_FORMAT_IMU,258,-11.89,99.74,71.46
CSV_FORMAT_IMU,260,-11.70,100.24,68.54
CSV_FORMAT_IMU,262,-11.49,100.73,65.59
CSV_FORMAT_IMU,264,-11.27,101.18,62.71
CSV_FORMAT_IMU,266,-11.01,101.65,59.90
CSV_FORMAT_IMU,268,-10.74,102.08,56.88
CSV_FORMAT_IMU,270,-10.43,102.51,53.91
CSV_FORMAT_IMU,272,-10.13,102.91,50.94
CSV_FORMAT_IMU,274,-9.80,103.29,48.02
CSV_FORMAT_IMU,276,-9.47,103.63,45.01
CSV_FORMAT_IMU,278,-9.10,103.97,42.02
CSV_FORMAT_IMU,280,-8.74,104.28,39.13
CSV_FORMAT_IMU,282,-8.50,104.47,37.14
CSV_FORMAT_IMU,284,-8.39,104.55,36.06
CSV_FORMAT_IMU,286,-8.37,104.56,35.75
CSV_FORMAT_IMU,288,-8.37,104.56,35.77
CSV_FORMAT_IMU,290,-8.37,104.56,35.77
CSV_FORMAT_IMU,292,-8.37,104.56,35.77
CSV_FORMAT_IMU,294,-8.37,104.56,35.77
CSV_FORMAT_IMU,296,-8.37,104.56,35.77
CSV_FORMAT_IMU,298,-8.37,104.56,35.77
CSV_FORMAT_IMU,300,-8.37,104.56,35.77
CSV_FORMAT_IMU,302,-8.37,104.56,35.77
CSV_FORMAT_IMU,304,-8.37,104.56,35.77
CSV_FORMAT_IMU,306,-8.37,104.56,35.77
CSV_FORMAT_IMU,308,-8.37,104.56,35.77
CSV_FORMAT_IMU,310,-8.37,104.56,35.77
CSV_FORMAT_IMU,312,-8.37,104.56,35.77
CSV_FORMAT_IMU,314,-8.37,104.56,35.77
CSV_FORMAT_IMU,316,-8.37,104.56,35.77
CSV_FORMAT_IMU,318,-8.37,104.56,35.77
CSV_FORMAT_IMU,320,-8.34,104.58,35.76
CSV_FORMAT_IMU,322,-8.19,104.69,35.05
CSV_FORMAT_IMU,324,-7.93,104.87,33.31
CSV_FORMAT_IMU,326,-7.56,105.10,30.91
CSV_FORMAT_IMU,328,-7.09,105.36,28.04
CSV_FORMAT_IMU,330,-6.55,105.62,24.72
CSV_FORMAT_IMU,332,-6.00,105.85,21.16
CSV_FORMAT_IMU,334,-5.38,106.06,17.52
CSV_FORMAT_IMU,336,-4.71,106.24,13.84
CSV_FORMAT_IMU,338,-3.97,106.39,10.30
CSV_FORMAT_IMU,340,-3.16,106.50,6.37
CSV_FORMAT_IMU,342,-2.32,106.57,2.82
CSV_FORMAT_IMU,344,-1.44,106.57,-0.71
CSV_FORMAT_IMU,346,-0.56,106.53,-4.14
CSV_FORMAT_IMU,348,0.35,106.43,-7.59
CSV_FORMAT_IMU,350,1.21,106.28,-10.97
CSV_FORMAT_IMU,352,2.04,106.09,-14.41
CSV_FORMAT_IMU,354,2.97,105.81,-17.67
CSV_FORMAT_IMU,356,3.93,105.49,-18.79
CSV_FORMAT_IMU,358,4.94,105.15,-18.62
CSV_FORMAT_IMU,360,6.07,104.78,-17.84
CSV_FORMAT_IMU,362,7.15,104.45,-16.62
CSV_FORMAT_IMU,364,8.27,104.13,-15.41
CSV_FORMAT_IMU,366,9.40,103.83,-14.25
CSV_FORMAT_IMU,368,10.59,103.55,-13.00
CSV_FORMAT_IMU,370,11.76,103.30,-11.22
CSV_FORMAT_IMU,372,12.96,103.08,-9.45
CSV_FORMAT_IMU,374,14.27,102.90,-7.43
CSV_FORMAT_IMU,376,15.52,102.76,-5.51
CSV_FORMAT_IMU,378,16.89,102.66,-3.45
CSV_FORMAT_IMU,380,18.18,102.60,-1.59
CSV_FORMAT_IMU,382,19.53,102.60,0.62
CSV_FORMAT_IMU,384,20.85,102.65,3.01
CSV_FORMAT_IMU,386,22.20,102.75,5.06
CSV_FORMAT_IMU,388,23.60,102.90,6.50
CSV_FORMAT_IMU,390,24.98,103.06,6.65
CSV_FORMAT_IMU,392,26.44,103.22,6.21
CSV_FORMAT_IMU,394,27.85,103.37,5.41
CSV_FORMAT_IMU,396,29.26,103.48,4.24
CSV_FORMAT_IMU,398,30.64,103.56,2.90
CSV_FORMAT_IMU,400,31.99,103.61,1.36
CSV_FORMAT_IMU,402,33.34,103.62,-0.16
CSV_FORMAT_IMU,404,34.69,103.59,-1.90
CSV_FORMAT_IMU,406,36.01,103.53,-3.51
CSV_FORMAT_IMU,408,37.32,103.42,-5.37
CSV_FORMAT_IMU,410,38.60,103.27,-6.92
CSV_FORMAT_IMU,412,39.88,103.10,-8.36
CSV_FORMAT_IMU,414,41.21,102.88,-9.91
CSV_FORMAT_IMU,416,42.48,102.64,-11.62
CSV_FORMAT_IMU,418,43.80,102.34,-13.22
CSV_FORMAT_IMU,420,45.11,102.01,-14.66
CSV_FORMAT_IMU,422,46.50,101.64,-15.03
CSV_FORMAT_IMU,424,47.87,101.28,-14.32
CSV_FORMAT_IMU,426,49.27,100.94,-13.20
CSV_FORMAT_IMU,428,50.68,100.63,-11.91
CSV_FORMAT_IMU,430,52.13,100.34,-10.54
CSV_FORMAT_IMU,432,53.56,100.11,-8.82
CSV_FORMAT_IMU,434,54.99,99.91,-7.11
CSV_FORMAT_IMU,436,56.46,99.76,-5.19
CSV_FORMAT_IMU,438,57.90,99.65,-3.52
CSV_FORMAT_IMU,440,59.31,99.60,-1.65
CSV_FORMAT_IMU,442,60.73,99.59,0.35
CSV_FORMAT_IMU,444,62.20,99.63,2.38
CSV_FORMAT_IMU,446,63.58,99.72,4.39
CSV_FORMAT_IMU,448,65.05,99.86,6.39
CSV_FORMAT_IMU,450,66.48,100.05,8.46
CSV_FORMAT_IMU,452,67.94,100.31,10.56
CSV_FORMAT_IMU,454,69.32,100.59,12.07
CSV_FORMAT_IMU,456,70.64,100.88,12.69
CSV_FORMAT_IMU,458,71.99,101.18,12.52
CSV_FORMAT_IMU,460,73.28,101.46,11.94
CSV_FORMAT_IMU,462,74.54,101.72,11.22
CSV_FORMAT_IMU,464,75.75,101.95,10.23
CSV_FORMAT_IMU,466,76.92,102.15,9.20
CSV_FORMAT_IMU,468,78.07,102.32,8.09
CSV_FORMAT_IMU,470,79.23,102.47,6.98
CSV_FORMAT_IMU,472,80.29,102.58,5.84
CSV_FORMAT_IMU,474,81.35,102.68,4.80
CSV_FORMAT_IMU,476,82.45,102.76,3.67
CSV_FORMAT_IMU,478,83.48,102.81,2.44
CSV_FORMAT_IMU,480,84.52,102.84,1.20
CSV_FORMAT_IMU,482,85.49,102.85,-0.04
CSV_FORMAT_IMU,484,86.50,102.84,-1.39
CSV_FORMAT_IMU,486,87.47,102.80,-2.67
CSV_FORMAT_IMU,488,88.41,102.74,-4.11
CSV_FORMAT_IMU,490,89.35,102.66,-5.67
CSV_FORMAT_IMU,492,90.26,102.55,-7.10
CSV_FORMAT_IMU,494,91.13,102.43,-8.81
CSV_FORMAT_IMU,496,91.90,102.29,-10.31
CSV_FORMAT_IMU,498,92.49,102.18,-10.97
CSV_FORMAT_IMU,500,92.92,102.10,-11.61
CSV_FORMAT_IMU,502,93.20,102.04,-11.48
CSV_FORMAT_IMU,504,93.44,101.99,-11.43
CSV_FORMAT_IMU,506,93.81,101.91,-12.00
CSV_FORMAT_IMU,508,94.21,101.82,-12.89
CSV_FORMAT_IMU,510,94.70,101.71,-13.94
CSV_FORMAT_IMU,512,95.25,101.56,-15.30
CSV_FORMAT_IMU,514,95.85,101.38,-16.98
CSV_FORMAT_IMU,516,96.48,101.18,-18.46
CSV_FORMAT_IMU,518,97.13,100.95,-20.18
CSV_FORMAT_IMU,520,97.86,100.66,-21.98
CSV_FORMAT_IMU,522,98.64,100.33,-24.00
CSV_FORMAT_IMU,524,99.49,99.93,-26.03
CSV_FORMAT_IMU,526,100.38,99.47,-28.05
CSV_FORMAT_IMU,528,101.32,98.94,-30.05
CSV_FORMAT_IMU,530,102.23,98.39,-31.98
CSV_FORMAT_IMU,532,103.17,97.77,-33.94
CSV_FORMAT_IMU,534,104.12,97.10,-35.99
CSV_FORMAT_IMU,536,105.02,96.41,-38.12
CSV_FORMAT_IMU,538,105.92,95.68,-39.93
CSV_FORMAT_IMU,540,106.80,94.92,-41.74
CSV_FORMAT_IMU,542,107.65,94.12,-43.64
CSV_FORMAT_IMU,544,108.48,93.30,-45.59
CSV_FORMAT_IMU,546,109.34,92.39,-47.51
CSV_FORMAT_IMU,548,110.10,91.51,-49.63
CSV_FORMAT_IMU,550,110.85,90.59,-51.76
CSV_FORMAT_IMU,552,111.57,89.63,-53.74
CSV_FORMAT_IMU,554,112.26,88.65,-55.75
CSV_FORMAT_IMU,556,112.92,87.63,-57.65
CSV_FORMAT_IMU,558,113.52,86.63,-59.79
CSV_FORMAT_IMU,560,114.10,85.59,-61.63
CSV_FORMAT_IMU,562,114.66,84.50,-63.48
CSV_FORMAT_IMU,564,115.16,83.45,-65.43
CSV_FORMAT_IMU,566,115.66,82.30,-67.12
CSV_FORMAT_IMU,568,116.10,81.19,-68.85
CSV_FORMAT_IMU,570,116.54,79.98,-70.77
CSV_FORMAT_IMU,572,116.92,78.81,-72.66
CSV_FORMAT_IMU,574,117.27,77.64,-74.37
CSV_FORMAT_IMU,576,117.60,76.36,-76.04
CSV_FORMAT_IMU,578,117.88,75.10,-77.94
